,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items
24,1,ENS: Ethereum Name Service,"1,040.65",-28.89%,+302.02%,< 0.01,437.1K,1.4M
22,2,Otherdeed for Otherside,782.31,+120.55%,-33.71%,2.85,34.5K,100.0K
23,3,Bored Ape Yacht Club,597.5,+11.79%,-29.92%,92,6.4K,10.0K
18,4,Moonbirds,465.56,-69.02%,+140.59%,26.01,6.6K,10.0K
21,5,Mutant Ape Yacht Club,387.33,+52.36%,-30.98%,18.17,13.0K,19.4K
19,6,DegenTown,"12,371.07",+178.64%,---,14.5,1.8K,8.0K
20,7,God Hates NFTees,356.35,-56.79%,---,0.69,2.7K,5.0K
0,8,CLONE X - X TAKASHI MURAKAMI,328.1,-11.48%,+34.94%,12.15,9.5K,19.3K
17,9,Doodles,320.73,+142.63%,-64.09%,13.5,5.2K,10.0K
15,10,"Royal Oak Foundation, Exclusive Collection",300,---,+100.00%,---,4,10
16,11,Art Blocks Curated,280.15,+7.43%,+8.47%,---,11.8K,57.6K
1,12,Murakami.Flowers Official,264.26,+724.77%,+50.52%,3.84,5.6K,9.5K
14,13,CryptoPunks,234.38,+59.12%,-53.74%,---,3.5K,10.0K
12,14,The Possessed,233.92,-5.82%,---,0.63,7.2K,10.0K
13,15,CopeBears,222.38,+66367.76%,---,0.04,2.4K,8.0K
2,16,Admit One,222.11,+125.40%,+413.05%,24.99,895,1.0K
11,17,JungleKing Official,188.05,+21.75%,---,0.03,2.6K,10.0K
9,18,Good Minds NFT,186.66,---,---,0.07,1.6K,6.0K
10,19,Moonbirds Oddities,147.11,-73.38%,+56.83%,3.98,6.1K,10.0K
3,20,The GODA Mint Pass,145.47,+71.29%,-22.77%,9,742,1.0K
8,21,Meka Rhinos,129.76,-76.83%,---,0.12,1.6K,3.3K
37,21,Meka Rhinos,129.76,-76.83%,---,0.12,1.6K,3.3K
4,22,Project Ino,129.1,---,---,0.02,4.4K,8.0K
35,22,Project Ino,129.1,---,---,0.02,4.4K,8.0K
36,23,WZRDS,126.96,+118.63%,---,0.27,4.2K,10.0K
7,23,WZRDS,126.96,+118.63%,---,0.27,4.2K,10.0K
27,24,Anticyclone by William Mapan,117.63,---,+53.63%,5.99,391,800
5,24,Anticyclone by William Mapan,117.63,---,+53.63%,5.99,391,800
6,25,CryptoToysClubNFT,103.46,---,---,0.15,375,2.0K
34,25,CryptoToysClubNFT,103.46,---,---,0.15,375,2.0K
32,26,Chromie Squiggle by Snowfro,103.24,+27.52%,+162.18%,11,2.7K,9.7K
33,27,DopeApeClub,101.11,-65.15%,---,0.05,3.4K,10.0K
